Time,Quadrant Number,Ball Colour,Type
2.1333333333333333,1,Color_2,Entry
2.1333333333333333,3,Color_2,Exit
2.1666666666666665,1,Color_1,Entry
2.1666666666666665,4,Color_2,Entry
2.1666666666666665,4,Color_1,Exit
2.1666666666666665,1,Color_2,Exit
2.2666666666666666,2,Color_2,Entry
2.2666666666666666,1,Color_3,Entry
2.2666666666666666,4,Color_4,Entry
2.2666666666666666,4,Color_2,Exit
2.2666666666666666,2,Color_3,Exit
2.2666666666666666,1,Color_4,Exit
2.3,4,Color_1,Entry
2.3,1,Color_2,Entry
2.3,2,Color_3,Entry
2.3,1,Color_4,Entry
2.3,1,Color_1,Exit
2.3,2,Color_2,Exit
2.3,1,Color_3,Exit
2.3,4,Color_4,Exit
2.3333333333333335,2,Color_1,Entry
2.3333333333333335,4,Color_3,Entry
2.3333333333333335,4,Color_1,Exit
2.3333333333333335,2,Color_3,Exit
2.3666666666666667,4,Color_1,Entry
2.3666666666666667,2,Color_3,Entry
2.3666666666666667,2,Color_1,Exit
2.3666666666666667,4,Color_3,Exit
2.4,1,Color_1,Entry
2.4,2,Color_2,Entry
2.4,4,Color_3,Entry
2.4,4,Color_1,Exit
2.4,1,Color_2,Exit
2.4,2,Color_3,Exit
2.433333333333333,2,Color_1,Entry
2.433333333333333,1,Color_2,Entry
2.433333333333333,1,Color_1,Exit
2.433333333333333,2,Color_2,Exit
2.466666666666667,4,Color_1,Entry
2.466666666666667,2,Color_3,Entry
2.466666666666667,2,Color_1,Exit
2.466666666666667,4,Color_3,Exit
2.5,2,Color_2,Entry
2.5,1,Color_3,Entry
2.5,1,Color_2,Exit
2.5,2,Color_3,Exit
2.533333333333333,2,Color_1,Entry
2.533333333333333,1,Color_2,Entry
2.533333333333333,4,Color_3,Entry
2.533333333333333,4,Color_1,Exit
2.533333333333333,2,Color_2,Exit
2.533333333333333,1,Color_3,Exit
2.6,1,Color_3,Entry
2.6,4,Color_4,Entry
2.6,4,Color_3,Exit
2.6,1,Color_4,Exit
2.6333333333333333,4,Color_3,Entry
2.6333333333333333,1,Color_4,Entry
2.6333333333333333,1,Color_3,Exit
2.6333333333333333,4,Color_4,Exit
